Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S3 Demo,Chrome 113.0.0.0,,,2023-05-15 19:53:57,2023-05-15 19:54:13,16.121s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 19:53:57,2023-05-15 19:54:13,15.674s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 19:53:58,2023-05-15 19:54:07,9.363s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 19:54:07,2023-05-15 19:54:08,0.537s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 19:54:08,2023-05-15 19:54:09,1.364s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""1"")",Chrome 113.0.0.0,,,2023-05-15 19:54:09,2023-05-15 19:54:10,0.773s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 19:54:10,2023-05-15 19:54:11,0.607s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 19:54:11,2023-05-15 19:54:11,0.115s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 19:54:13,2023-05-15 19:54:13,0.005s,PASSED
