Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S4 Demo failed,Chrome 113.0.0.0,,,2023-05-15 18:52:10,2023-05-15 18:52:28,18.472s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 18:52:10,2023-05-15 18:52:28,18.015s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 18:52:11,2023-05-15 18:52:23,11.259s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 18:52:23,2023-05-15 18:52:23,0.568s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 18:52:23,2023-05-15 18:52:25,1.430s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""1"")",Chrome 113.0.0.0,,,2023-05-15 18:52:25,2023-05-15 18:52:25,0.732s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 18:52:25,2023-05-15 18:52:26,0.642s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 18:52:26,2023-05-15 18:52:26,0.121s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 18:52:28,2023-05-15 18:52:28,0.004s,PASSED
