Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S4 Demo failed,Chrome 113.0.0.0,,,2023-05-15 15:53:29,2023-05-15 15:54:01,32.378s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 15:53:29,2023-05-15 15:54:01,31.918s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 15:53:30,2023-05-15 15:53:56,25.524s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 15:53:56,2023-05-15 15:53:56,0.600s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 15:53:56,2023-05-15 15:53:58,1.401s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""1"")",Chrome 113.0.0.0,,,2023-05-15 15:53:58,2023-05-15 15:53:58,0.703s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 15:53:58,2023-05-15 15:53:59,0.604s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 15:53:59,2023-05-15 15:53:59,0.141s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 15:54:01,2023-05-15 15:54:01,0.003s,PASSED
