Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S4 Demo failed,Chrome 113.0.0.0,,,2023-05-15 19:57:40,2023-05-15 19:57:57,16.418s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 19:57:41,2023-05-15 19:57:57,16.032s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 19:57:41,2023-05-15 19:57:51,9.851s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 19:57:51,2023-05-15 19:57:52,0.550s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 19:57:52,2023-05-15 19:57:53,1.299s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""1"")",Chrome 113.0.0.0,,,2023-05-15 19:57:53,2023-05-15 19:57:54,0.742s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 19:57:54,2023-05-15 19:57:54,0.603s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 19:57:54,2023-05-15 19:57:55,0.122s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 19:57:57,2023-05-15 19:57:57,0.004s,PASSED
