Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S3 Demo,Chrome 113.0.0.0,,,2023-05-15 15:51:04,2023-05-15 15:51:21,17.219s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 15:51:04,2023-05-15 15:51:21,16.737s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 15:51:05,2023-05-15 15:51:16,10.251s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 15:51:16,2023-05-15 15:51:16,0.582s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 15:51:16,2023-05-15 15:51:17,1.373s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""123456"")",Chrome 113.0.0.0,,,2023-05-15 15:51:17,2023-05-15 15:51:18,0.763s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 15:51:18,2023-05-15 15:51:19,0.602s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 15:51:19,2023-05-15 15:51:19,0.131s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 15:51:21,2023-05-15 15:51:21,0.005s,PASSED
