Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S2 Smoke with data driven Login,Chrome 113.0.0.0,,,2023-05-15 14:51:14,2023-05-15 14:52:20,1m - 6.562s,FAILED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 14:51:14,2023-05-15 14:51:28,14.191s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 14:51:15,2023-05-15 14:51:24,9.735s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 14:51:24,2023-05-15 14:51:26,1.224s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 14:51:26,2023-05-15 14:51:26,0.697s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 14:51:26,2023-05-15 14:51:27,0.581s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 14:51:27,2023-05-15 14:51:27,0.410s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:51:27,2023-05-15 14:51:28,1.033s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:51:28,2023-05-15 14:51:28,0.112s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 14:51:28,2023-05-15 14:51:39,10.558s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 14:51:28,2023-05-15 14:51:35,6.548s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 14:51:35,2023-05-15 14:51:36,1.172s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 14:51:36,2023-05-15 14:51:37,0.743s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 14:51:37,2023-05-15 14:51:37,0.531s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 14:51:37,2023-05-15 14:51:38,0.413s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:51:38,2023-05-15 14:51:39,1.024s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:51:39,2023-05-15 14:51:39,0.106s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 14:51:39,2023-05-15 14:51:49,10.468s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 14:51:39,2023-05-15 14:51:46,6.525s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 14:51:46,2023-05-15 14:51:47,1.099s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 14:51:47,2023-05-15 14:51:47,0.712s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 14:51:47,2023-05-15 14:51:48,0.535s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 14:51:48,2023-05-15 14:51:48,0.407s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:51:48,2023-05-15 14:51:49,1.057s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:51:49,2023-05-15 14:51:49,0.114s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 14:51:59,2023-05-15 14:52:10,10.476s,FAILED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 14:51:59,2023-05-15 14:52:06,7.040s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 14:52:06,2023-05-15 14:52:07,1.118s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 14:52:07,2023-05-15 14:52:08,0.718s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 14:52:08,2023-05-15 14:52:09,0.529s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 14:52:09,2023-05-15 14:52:09,0.328s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:52:09,2023-05-15 14:52:10,0.581s,FAILED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:52:10,2023-05-15 14:52:10,0.118s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 14:52:10,2023-05-15 14:52:20,10.382s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 14:52:10,2023-05-15 14:52:16,6.366s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 14:52:16,2023-05-15 14:52:17,1.194s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 14:52:17,2023-05-15 14:52:18,0.739s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 14:52:18,2023-05-15 14:52:19,0.521s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 14:52:19,2023-05-15 14:52:19,0.408s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:52:19,2023-05-15 14:52:20,0.994s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:52:20,2023-05-15 14:52:20,0.123s,PASSED
