Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S4 Demo failed,Chrome 113.0.0.0,,,2023-05-15 19:59:26,2023-05-15 19:59:42,16.388s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 19:59:26,2023-05-15 19:59:42,15.936s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 19:59:27,2023-05-15 19:59:37,9.756s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 19:59:37,2023-05-15 19:59:37,0.567s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 19:59:37,2023-05-15 19:59:39,1.323s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""1"")",Chrome 113.0.0.0,,,2023-05-15 19:59:39,2023-05-15 19:59:39,0.741s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 19:59:39,2023-05-15 19:59:40,0.596s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 19:59:40,2023-05-15 19:59:40,0.110s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 19:59:42,2023-05-15 19:59:42,0.005s,PASSED
