Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S2 Smoke with data driven Login,Chrome 113.0.0.0,,,2023-05-15 11:54:10,2023-05-15 11:55:37,1m - 27.163s,FAILED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 11:54:10,2023-05-15 11:54:25,14.726s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 11:54:11,2023-05-15 11:54:21,9.866s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 11:54:21,2023-05-15 11:54:22,1.211s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 11:54:22,2023-05-15 11:54:23,0.702s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 11:54:23,2023-05-15 11:54:23,0.571s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 11:54:23,2023-05-15 11:54:24,0.416s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 11:54:24,2023-05-15 11:54:25,1.411s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 11:54:25,2023-05-15 11:54:25,0.120s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 11:54:25,2023-05-15 11:54:36,11.001s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 11:54:25,2023-05-15 11:54:32,6.599s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 11:54:32,2023-05-15 11:54:33,1.131s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 11:54:33,2023-05-15 11:54:34,0.738s,PASSED
